rank,model,mae,rmse,mape_percent,bias,r2,n_predictions,improvement_vs_baseline_percent
1,Random Forest,13.313393,16.796787,9.973871,-1.669375,0.703620,217,27.542737
2,Extra Trees,13.619192,16.897153,10.186277,-2.028466,0.700067,217,25.878445
3,Gradient Boosting,14.353082,18.227924,10.632802,-2.036740,0.650963,217,21.884299
4,HistGradientBoostingRegressor,14.354948,18.061346,10.717642,-1.880094,0.657314,217,21.874141
5,Ridge Regression,15.041471,19.709194,11.670359,6.143804,0.591930,217,18.137787
6,Historical Average,18.374131,22.665449,13.129995,-4.881427,0.460334,217,0.000000
